Latitude,Longitude,EVI
39.75,80.25,0.033650998026132584
39.75,80.75,0.03209900110960007
39.75,81.25,0.029439998790621758
39.75,81.75,0.03421200066804886
39.75,82.25,0.03738999739289284
39.75,82.75,0.04017399996519089
39.75,83.25,0.04053099825978279
39.75,83.75,0.03679100051522255
39.75,84.25,0.0373849980533123
39.75,84.75,0.04061700031161308
39.75,85.25,0.04134199768304825
39.75,85.75,0.04125499725341797
39.75,86.25,0.03702300041913986
39.75,86.75,0.036413997411727905
39.75,87.25,0.0382779985666275
39.75,87.75,0.03708899766206741
39.75,88.25,0.03661299869418144
39.75,88.75,0.03338399901986122
39.75,89.25,0.034950997680425644
39.75,89.75,0.037334997206926346
39.75,90.25,0.03715299814939499
39.75,90.75,0.03634699806571007
39.75,91.25,0.03998300060629845
39.75,91.75,0.03709299862384796
39.75,92.25,0.03743299841880798
39.75,92.75,0.035679999738931656
39.75,93.25,0.03438099846243858
39.75,93.75,0.03396200016140938
39.75,94.25,0.038628000766038895
39.75,94.75,0.045235998928546906
39.75,95.25,0.04226699844002724
39.75,95.75,0.05014699697494507
39.75,96.25,0.04693499952554703
39.75,96.75,0.055959999561309814
39.75,97.25,0.05136599764227867
39.75,97.75,0.05063999816775322
39.75,98.25,0.05351699888706207
39.75,98.75,0.06308499723672867
39.75,99.25,0.04765499755740166
39.75,99.75,0.04539499804377556
39.75,100.25,0.04764599725604057
39.75,100.75,0.04801299795508385
39.75,101.25,0.04991300031542778
39.75,101.75,0.05601000040769577
39.75,102.25,0.059202998876571655
39.75,102.75,0.06148099899291992
39.75,103.25,0.05597800016403198
39.75,103.75,0.06336599588394165
39.75,104.25,0.05872099846601486
39.75,104.75,0.07146699726581573
39.75,105.25,0.06243099644780159
39.75,105.75,0.05492899939417839
39.75,106.25,0.055431999266147614
39.75,106.75,0.05761199817061424
39.75,107.25,0.07119099795818329
39.75,107.75,0.07612499594688416
39.75,108.25,0.07563799619674683
39.75,108.75,0.08200699836015701
39.75,109.25,0.09001699835062027
39.75,109.75,0.09025900065898895
39.75,110.25,0.07696599513292313
39.75,110.75,0.08069700002670288
39.75,111.25,0.08256799727678299
39.75,111.75,0.09027799963951111
39.75,112.25,0.10043799877166748
39.75,112.75,0.09681399911642075
39.75,113.25,0.09017600119113922
39.75,113.75,0.09773899614810944
39.75,114.25,0.10640999674797058
39.75,114.75,0.11818599700927734
39.75,115.25,0.10965999960899353
39.75,115.75,0.10450499504804611
39.75,116.25,0.10582099854946136
39.75,116.75,0.11524099856615067
39.75,117.25,0.12197799980640411
39.75,117.75,0.1159919947385788
39.75,118.25,0.105274997651577
39.75,118.75,0.09810099750757217
39.75,119.25,0.10714457929134369
39.75,119.75,0.07700666785240173
39.25,80.25,0.03838299959897995
39.25,80.75,0.03551299870014191
39.25,81.25,0.03177499771118164
39.25,81.75,0.03724899888038635
39.25,82.25,0.03852799907326698
39.25,82.75,0.03847599774599075
39.25,83.25,0.03979799896478653
39.25,83.75,0.03885899856686592
39.25,84.25,0.04194699972867966
39.25,84.75,0.04366900026798248
39.25,85.25,0.04194599762558937
39.25,85.75,0.03867200016975403
39.25,86.25,0.03528900071978569
39.25,86.75,0.033524997532367706
39.25,87.25,0.036893997341394424
39.25,87.75,0.04460899904370308
39.25,88.25,0.050644997507333755
39.25,88.75,0.043136999011039734
39.25,89.25,0.0350940003991127
39.25,89.75,0.03047499991953373
39.25,90.25,0.03525799885392189
39.25,90.75,0.04042299836874008
39.25,91.25,0.04480399936437607
39.25,91.75,0.04072599858045578
39.25,92.25,0.03646299988031387
39.25,92.75,0.043897997587919235
39.25,93.25,0.04322100058197975
39.25,93.75,0.039924997836351395
39.25,94.25,0.04592899978160858
39.25,94.75,0.04779999703168869
39.25,95.25,0.03834399953484535
39.25,95.75,0.050217997282743454
39.25,96.25,0.05144299939274788
39.25,96.75,0.04381699860095978
39.25,97.25,0.054954998195171356
39.25,97.75,0.06337099522352219
39.25,98.25,0.05946899950504303
39.25,98.75,0.06048799678683281
39.25,99.25,0.06038399785757065
39.25,99.75,0.06509799510240555
39.25,100.25,0.0686120018362999
39.25,100.75,0.06776300072669983
39.25,101.25,0.05894799903035164
39.25,101.75,0.053891997784376144
